tag,batch_size,max_tokens,elapsed_s,output_tokens,tokens_per_s,requests_per_s,latency_mean_s,latency_p95_s,peak_vram_gib
fp16_util0.85,1,128,4.44,128,28.8,0.23,4.441,4.441,0.0
fp16_util0.85,2,128,3.65,256,70.2,0.55,3.649,3.649,0.0
fp16_util0.85,4,128,3.73,512,137.4,1.07,3.727,3.727,0.0
fp16_util0.85,8,128,3.86,1024,265.6,2.07,3.856,3.856,0.0
fp16_util0.85,16,128,4.14,2048,494.1,3.86,4.145,4.145,0.0
fp16_util0.85,32,128,5.12,4096,800.1,6.25,5.119,5.119,0.0
fp16_util0.85,64,128,5.92,8192,1383.9,10.81,5.92,5.92,0.0
